name,rating,reviews,info,category,composite_score,high_review_flag,address
Long Talk Coffee,4.9,526,€1–5,Bakery,11.16530121273771,True,Ag. Panton 86
The Black Salami Microbakery,4.8,1540,€5–10,Bakery,12.139537695407675,True, · Zoodochou Pigis 71
Wild Souls Athens,4.8,828,4.8(828),Nut store,11.51901315438526,True,Voulis 36
Samba Coffee Roasters | The Shop,4.8,649,€1–5,Coffee store,11.27543271670409,True,Solonos 36
Foyer Espresso Bar,4.8,434,€1–5,Bakery,10.873044534100403,True,Vriaxidos 2
Μαμά ψωμί,4.8,337,€1–5,Bakery,10.62008293035236,True, · Zacharitsa 42
Amandine's Bagels,4.8,333,€5–10,Bagel shop,10.608142489980445,True,Nikis 13
Αρτοποιείο Δήμου (Dimou Bakery/pastry shop),4.8,324,€1–5,Bakery,10.580743515792328,True, · Ilia Poulopoulou 17
Artos Venetis,4.8,319,4.8(319),Pastries,10.565191102784844,True,Sarri 13
Κekkos Traditional Cafe & Pastry,4.8,296,4.8(296),Cafe,10.49035945432406,True, · Eratosthenous 7
overoll,4.7,3038,€1–5,Bakery,12.71895468315572,True,Praxitelous 27
Takis Bakery,4.7,1387,€1–5,Bakery,11.93489842031483,True,Misaraliotou 14
Phleïbor,4.7,843,4.7(843),Patisserie,11.436966958001856,True, · Nikis 10
Tailor Made Coffee Roasters,4.7,535,€1–5,Coffee shop,10.982266746896006,True,Perikleous 37
Creme Royale,4.7,461,€1–5,Cafe,10.833398042996649,True,Athinas 37
Eklekti Confectionery,4.7,417,4.7(417),Confectionery store,10.733086221798802,True,"Αστυδάμαντος 15, Παγκράτι, Pl. Mesologgiou"
Ζαχαροπλαστείο (MAKARON) Lonis,4.7,334,4.7(334),Pastries,10.5111409929767,True,Athinas 7
Thiseio Bakery,4.7,296,€1–5,Bakery,10.39035945432406,True,Nileos 34
Pnyka,4.7,293,€1–5,Bakery,10.380172609017068,True,Petraki 24
BOUGATSA SAVVAS,4.7,284,€1–5,Takeout Restaurant,10.348974238161206,True,Tzortz 10
"Diogenis Food Hall - Καφέ, Sandwiches & Σφολιάτες στην Πλάκα",4.7,276,€5–10,Cafe,10.32040086571715,True,Sellei 3
LUKUMAΔΕΣ,4.6,7779,$$,Dessert shop,13.559183074206771,True,"Eolou 21, & Aghias Irinis Str"
KORA,4.6,1109,€5–10,Bakery,11.611213987350368,True, · Panagiotou Anagnostopoulou 44
To Koulouri of Psirri,4.6,638,€1–5,Bakery,11.058338283344789,True, · Γεωργίου Καραϊσκάκη 23
CAKE Kolonaki,4.6,462,€5–10,Cupcakes,10.735564891081738,True, · Irodotou 15
